Booking ID,Booking Date,Trip Start Date,Planned ETA,Actual ETA,Trip End Date,Origin Location,Origin Lat,Origin Lon,Stopover Location,Stopover Lat,Stopover Lon,Destination Location,Destination Lat,Destination Lon,Distance (KM),Shipment Type,Material Category,Material Shipped,Material Weight (KG),Vehicle Type,Vehicle Registration,GPS Notes,Enroute Issues,Supplier Name,Customer Name,Supplier Specialization,Driver Name,Driver Mobile No,Trip Status,Load Type,Delivery Window Start,Delivery Window End,Driver Hours Logged,Notes,Trip Type,Road Distance (KM),Route,Trip Duration (Hours),Arrival Status,Delay Hours,Route Category,Avg Speed (KM/H),Consecutive_Driving_Days,Fatigue Risk,KM_Since_Last_Service,Needs_Service_Soon,Month,Year
f6c1a5a1-615c-493c-993a-be28ef04fd11,2019-09-04,2019-09-05 15:00:00.000000,2019-09-08 16:09:28.824835,2019-09-08 19:10:24.974760,2019-09-08 22:11:38.474976,"Jacksonville, FL",30.3322,-81.6557,,,,"Phoenix, AZ",33.4484,-112.074,3310.01,Special Handling,Perishables,Cheese,7089.0,Reefer Truck,HUM-4443,Delayed ping,,ArcticShip,Andrade-Mendoza,Perishables,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2019-09-08 08:00:00,2019-09-08 18:00:00,79.19,,Regular,3291.26,DJMUTC -> 9TBQ39,76.1736041,Delay,3.0155972013888888,Medium (1500-3500km),43.45,5,Medium,3310.01,False,September,2019
76df8cb0-c903-4d3a-95c0-5c7e5927e1a5,2023-11-26,2023-11-27 22:00:00.000000,2023-12-02 07:00:26.340608,2023-12-02 12:21:44.322175,2023-12-02 16:57:43.785458,"New York, NY",40.7128,-74.006,,,,"Calgary, AB",51.044733,-114.071883,3873.89,Priority,Hazardous,Industrial Solvent,2553.0,Tanker,BNJ-0033,Consistent,,HydroTrans,"Torres, Brown and Williams",Hazardous,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2023-12-02 08:00:00,2023-12-02 18:00:00,114.96,,Regular,3848.21,DR5REG -> C3NFKH,110.36231171527777,Delay,5.354994879722222,Long (>3500km),35.1,8,High,3873.89,False,November,2023
7e33e37a-4341-4f01-af51-f1ff880df2b7,2024-03-03,2024-03-03 12:00:00.000000,2024-03-09 12:59:15.131299,2024-03-08 23:46:23.722641,2024-03-09 02:41:25.600162,"Seattle, WA",47.6062,-122.3321,"Indianapolis, IN",39.7684,-86.1581,"Fort Worth, TX",32.7555,-97.3308,5153.08,Priority,Metals,Steel Beams,4630.0,Tanker,PEX-8053,Consistent,,SteelWorx Ltd,"Hodges, Sheppard and Johnson",Metals,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2024-03-09 08:00:00,2024-03-09 18:00:00,134.69,,Regular,5075.45,C23NB6 -> 9VFF34,131.77325628916665,On Time,-13.214280182777777,Long (>3500km),39.11,23,High,5153.08,False,March,2024
14576d7f-63fd-444d-866b-f0fa3021939b,2024-03-05,2024-03-06 05:00:00.000000,2024-03-10 11:33:48.718958,2024-03-10 05:58:42.648740,2024-03-10 09:45:02.501593,"Toronto, ON",43.65107,-79.347015,,,,"San Jose, CA",37.3382,-121.8863,4472.62,Priority,Hazardous,Industrial Solvent,7103.0,Box Truck,OKI-3419,Consistent,Driver Issue,HydroTrans,Goodman and Sons,Hazardous,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2024-03-10 08:00:00,2024-03-10 18:00:00,100.75,,Regular,4299.5,DPZ866 -> 9Q9K6M,96.97851353888888,On Time,-5.585019505,Long (>3500km),46.12,23,High,4472.62,False,March,2024
4e0f370e-0dd7-4401-a953-526a9e6f9542,2024-03-07,2024-03-08 05:00:00.000000,2024-03-09 17:53:15.827066,2024-03-09 19:00:47.020994,2024-03-09 23:29:35.572049,"Fort Worth, TX",32.7555,-97.3308,,,,Mexico City,19.432608,-99.133209,1797.66,Regular,Hazardous,Industrial Solvent,1240.0,Flatbed,HJO-8710,Consistent,,HydroTrans,Michael-Ortega,Hazardous,Adam Russell,817.912.7484,Completed,Full Truckload,2024-03-09 08:00:00,2024-03-09 18:00:00,42.49,,Regular,1789.9,9VFF34 -> 9G3W81,38.01306138722222,On Time,1.1253316466666667,Medium (1500-3500km),47.29,23,High,1797.66,False,March,2024
2789be0b-4511-42d9-8093-3c8d873c6c17,2024-03-17,2024-03-25 09:40:04.945044,2024-03-26 22:03:31.030203,2024-03-26 22:36:34.696785,2024-03-27 00:14:51.039553,"San Jose, CA",37.3382,-121.8863,,,,Leon,21.122997,-101.686852,3318.35,Regular,Agriculture,Soybeans,4224.0,Reefer Truck,RJN-0265,Consistent,,AgroSource Inc,"Tanner, Hunt and Cameron",Agriculture,Adam Russell,817.912.7484,Completed,Full Truckload,2024-03-26 08:00:00,2024-03-26 18:00:00,38.58,,Continuation,3282.89,9Q9K6M -> 9EZ8NJ,36.94159770583333,On Time,0.551018495,Medium (1500-3500km),89.83,23,High,14733.62,False,March,2024
4df4fa38-981a-4791-9b19-fca01c287c44,2024-07-06,2024-07-07 15:00:00.000000,2024-07-11 19:35:24.962935,2024-07-11 12:42:20.833279,2024-07-11 14:24:02.188917,"Dallas, TX",32.7767,-96.797,Leon,21.122997,-101.686852,Cancun,21.161908,-86.851528,3727.11,Priority,Agriculture,Fertilizer,6511.0,Reefer Truck,QNQ-9985,Consistent,,GreenEarth Supply,Hamilton-Erickson,Agriculture,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2024-07-11 08:00:00,2024-07-11 18:00:00,95.4,,Regular,3568.66,9VG4MQ -> D5F0RS,93.70578702194445,On Time,-6.884480460000001,Long (>3500km),39.77,6,Medium,3727.11,False,July,2024
597196d0-d0a3-453d-9e23-a393587f435b,2024-07-16,2024-07-17 01:00:00.000000,2024-07-19 00:04:25.553126,2024-07-19 04:37:34.728336,2024-07-19 05:52:43.593355,"Washington, DC",38.9072,-77.0369,,,,"Houston, TX",29.7604,-95.3698,2341.81,Priority,Agriculture,Soybeans,3295.0,Container Truck,WNR-0450,Consistent,,AgroSource Inc,Long Ltd,Agriculture,Adam Russell,817.912.7484,Completed,Full Truckload,2024-07-19 08:00:00,2024-07-19 18:00:00,52.88,,Regular,2266.66,DQCJQF -> 9VK1MC,51.62631342666667,Delay,4.552548669444445,Medium (1500-3500km),45.36,4,Medium,2341.81,False,July,2024
cd4c0c02-c384-4aa8-b5b4-2f7352d28eb1,2024-07-26,2024-07-27 18:00:00.000000,2024-07-29 09:30:30.736434,2024-07-29 09:16:47.058804,2024-07-29 11:40:18.004926,"Boston, MA",42.3601,-71.0589,,,,"Indianapolis, IN",39.7684,-86.1581,1577.74,Priority,Perishables,Ice Cream,9199.0,Tanker,XOI-9696,Consistent,,CoolFreight,Nielsen-Mendoza,Perishables,Adam Russell,817.912.7484,Completed,Less-than-Truckload,2024-07-29 08:00:00,2024-07-29 18:00:00,41.67,,Regular,1509.65,DRT2ZP -> DP4DPR,39.279738556666665,On Time,-0.22879934166666668,Medium (1500-3500km),40.17,2,Low,1577.74,False,July,2024
9503913f-411b-48bf-a860-a0b06f61b4b5,2024-09-12,2024-09-13 16:00:00.000000,2024-09-15 18:02:52.588767,2024-09-15 14:19:54.986822,2024-09-15 15:25:56.759918,"Jacksonville, FL",30.3322,-81.6557,"Houston, TX",29.7604,-95.3698,"Austin, TX",30.2672,-97.7431,1680.39,Regular,Fuel,Diesel,7186.0,Flatbed,AET-8393,Consistent,,FuelLogix,Lindsey-Shaw,Fuel,Adam Russell,817.912.7484,Completed,Full Truckload,2024-09-15 08:00:00,2024-09-15 18:00:00,47.43,,Regular,1663.75,DJMUTC -> 9V6KPV,46.33194078388889,On Time,-3.716000540277778,Medium (1500-3500km),36.27,10,High,1680.39,False,September,2024
